Seconds,Volts,Amps
1270.005,4.073072377,-0.00189
1275.005,4.072941331,-0.00189
1280.005,4.072811469,-0.00189
1285.005,4.072682433,-0.00189
1290.005,4.072553806,-0.00189
1295.005,4.072425558,-0.00189
1300.005,4.072297754,-0.00189
1305.005,4.072170307,-0.00189
1310.005,4.072043253,-0.00189
1315.005,4.071916426,-0.00189
1320.005,4.071789768,-0.00189
1325.005,4.071663337,-0.00189
1330.005,4.071537134,-0.00189
1335.005,4.071411158,-0.00189
1340.005,4.071285236,-0.00189
1345.005,4.071159447,-0.00189
1350.005,4.071033813,-0.00189
1355.005,4.070908336,-0.00189
1360.005,4.070783004,-0.00189
1365.005,4.070657626,-0.00189
1370.005,4.070532332,-0.00189
1375.005,4.070407122,-0.00189
1380.005,4.070281997,-0.00189
1385.005,4.070156929,-0.00189
1390.005,4.070031849,-0.00189
1395.005,4.069906815,-0.00189
1400.005,4.069781825,-0.00189
1405.005,4.069656882,-0.00189
1410.005,4.069531969,-0.00189
1415.005,4.069407071,-0.00189
1420.005,4.069282196,-0.00189
1425.005,4.069157341,-0.00189
1430.005,4.069032503,-0.00189
1435.005,4.068907688,-0.00189
1440.005,4.068782894,-0.00189
1445.005,4.068658116,-0.00189
1450.005,4.068533353,-0.00189
1455.005,4.068408601,-0.00189
1460.005,4.06828386,-0.00189
1465.005,4.068159127,-0.00189
1470.005,4.0680344,-0.00189
1475.005,4.067909678,-0.00189
1480.005,4.067784959,-0.00189
1485.005,4.067660251,-0.00189
1490.005,4.067535551,-0.00189
1495.005,4.06741086,-0.00189
1500.005,4.067286176,-0.00189
1505.005,4.067161501,-0.00189
1510.005,4.067036834,-0.00189
1515.005,4.066912176,-0.00189
1520.005,4.066787525,-0.00189
1520.006,4.067677716,0
1520.106,4.067773998,0
1520.206,4.067836828,0
1520.306,4.067887375,0
1520.406,4.067931012,0
1520.506,4.067970114,0
1520.606,4.068006074,0
1520.706,4.068039457,0
1520.806,4.068070561,0
1520.906,4.068099689,0
1521.006,4.068127136,0
1521.106,4.068153193,0
1521.206,4.068178095,0
1521.306,4.068201769,0
1521.406,4.068224439,0
1521.506,4.068246247,0
1521.606,4.068267368,0
1521.706,4.068288076,0
1521.806,4.068308127,0
1521.906,4.06832752,0
1522.006,4.068346261,0
1522.106,4.068364551,0
1522.206,4.068382267,0
1522.306,4.068399407,0
1522.406,4.068415972,0
1522.506,4.068432396,0
1522.606,4.068448451,0
1522.706,4.068464116,0
1522.806,4.068479389,0
1522.906,4.068494271,0
1523.006,4.068508762,0
1523.106,4.068522862,0
1523.206,4.06853657,0
1523.306,4.068550123,0
1523.406,4.068563427,0
1523.506,4.068576411,0
1523.606,4.068589075,0
1523.706,4.068601418,0
1523.806,4.068613441,0
1523.906,4.068625144,0
1524.006,4.068636708,0
1524.106,4.068648195,0
1524.206,4.068659452,0
1524.306,4.068670482,0
1524.406,4.068681282,0
1524.506,4.068691854,0
1524.606,4.068702197,0
1524.706,4.068712365,0
1524.806,4.068722473,0
1524.906,4.068732402,0
1525.006,4.068742154,0
1525.106,4.068751727,0
1525.206,4.068761122,0
1525.306,4.068770338,0
1525.406,4.068779383,0
1525.506,4.06878839,0
1525.606,4.068797253,0
1525.706,4.068805972,0
1525.806,4.068814549,0
1525.906,4.068822982,0
1526.006,4.068831273,0
1526.106,4.06883942,0
1526.206,4.068847468,0
1526.306,4.068855403,0
1526.406,4.068863218,0
1526.506,4.068870917,0
1526.606,4.068878503,0
1526.706,4.068885977,0
1526.806,4.068893343,0
1526.906,4.068900602,0
1527.006,4.068907759,0
1527.106,4.068914815,0
1527.206,4.068921773,0
1527.306,4.068928636,0
1527.406,4.068935407,0
1527.506,4.068942087,0
1527.606,4.068948679,0
1527.706,4.068955185,0
1527.806,4.068961608,0
1527.906,4.06896795,0
1528.006,4.068974216,0
1528.106,4.068980406,0
1528.206,4.068986524,0
1528.306,4.068992573,0
1528.406,4.068998555,0
1528.506,4.069004472,0
1528.606,4.069010328,0
1528.706,4.069016124,0
1528.806,4.069021864,0
1528.906,4.06902755,0
1529.006,4.069033184,0
1529.106,4.069038711,0
1529.206,4.069044171,0
1529.306,4.069049573,0
